# refresh_posture_target=False,arm_posture_cost=0.001,"arm_posture_cost_overrides={'left_arm_joint7': 0.01, 'right_arm_joint7': 0.01}"
t,left_q0,left_q1,left_q2,left_q3,left_q4,left_q5,left_q6,right_q0,right_q1,right_q2,right_q3,right_q4,right_q5,right_q6,left_target_ee_0,left_target_ee_1,left_target_ee_2,left_target_ee_3,left_target_ee_4,left_target_ee_5,left_target_ee_6,right_target_ee_0,right_target_ee_1,right_target_ee_2,right_target_ee_3,right_target_ee_4,right_target_ee_5,right_target_ee_6,left_actual_ee_0,left_actual_ee_1,left_actual_ee_2,left_actual_ee_3,left_actual_ee_4,left_actual_ee_5,left_actual_ee_6,right_actual_ee_0,right_actual_ee_1,right_actual_ee_2,right_actual_ee_3,right_actual_ee_4,right_actual_ee_5,right_actual_ee_6,lift_q,base_x,base_y,base_yaw
0.014453940999374026,-0.004051,1.315357,-1.704515,1.301989,-0.006513,0.005587,-0.005991,0.004971,1.317809,1.706730,1.321013,-0.006744,0.002779,0.006985,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.04209710599934624,-0.004097,1.315685,-1.704990,1.301989,-0.006064,0.005206,-0.005994,0.004947,1.317639,1.706488,1.321013,-0.006516,0.002581,0.006984,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.07668811199982883,-0.004140,1.315989,-1.705428,1.301989,-0.005649,0.004854,-0.005996,0.004925,1.317486,1.706272,1.321013,-0.006313,0.002404,0.006982,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.10883438800010481,-0.004179,1.316269,-1.705833,1.301989,-0.005267,0.004530,-0.005997,0.004906,1.317350,1.706079,1.321012,-0.006131,0.002247,0.006982,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.1399630750001961,-0.004215,1.316527,-1.706206,1.301989,-0.004914,0.004230,-0.005999,0.004889,1.317229,1.705907,1.321012,-0.005968,0.002106,0.006981,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.17332693800017296,-0.004249,1.316766,-1.706550,1.301989,-0.004588,0.003954,-0.006000,0.004874,1.317120,1.705753,1.321012,-0.005823,0.001981,0.006980,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.2075323720000597,-0.004280,1.316985,-1.706868,1.301989,-0.004288,0.003700,-0.006001,0.004860,1.317024,1.705616,1.321012,-0.005694,0.001868,0.006979,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.2406681070006016,-0.004309,1.317188,-1.707161,1.301989,-0.004011,0.003464,-0.006002,0.004848,1.316937,1.705493,1.321012,-0.005578,0.001768,0.006979,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.2738240449998557,-0.004335,1.317375,-1.707431,1.301989,-0.003755,0.003248,-0.006003,0.004837,1.316860,1.705383,1.321012,-0.005475,0.001679,0.006978,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
0.30703076099962345,-0.004360,1.317548,-1.707680,1.301989,-0.003519,0.003047,-0.006004,0.004828,1.316791,1.705286,1.321012,-0.005383,0.001599,0.006978,-0.026971,0.774714,0.149166,-0.613874,0.373972,-0.254951,0.606154,0.134353,-0.610799,-0.020293,0.780040,-0.373241,-0.256786,0.612035,-0.026970,0.774714,0.149165,-0.613874,0.373973,-0.254951,0.606152,0.134354,-0.610799,-0.020294,0.780040,-0.373240,-0.256786,0.612037,0.451097,0.000000,0.000000,0.000000
