# refresh_posture_target=True,arm_posture_cost=0.001,"arm_posture_cost_overrides={'left_arm_joint7': 0.003, 'right_arm_joint7': 0.003}"
t,left_q0,left_q1,left_q2,left_q3,left_q4,left_q5,left_q6,right_q0,right_q1,right_q2,right_q3,right_q4,right_q5,right_q6,left_target_ee_0,left_target_ee_1,left_target_ee_2,left_target_ee_3,left_target_ee_4,left_target_ee_5,left_target_ee_6,right_target_ee_0,right_target_ee_1,right_target_ee_2,right_target_ee_3,right_target_ee_4,right_target_ee_5,right_target_ee_6,left_actual_ee_0,left_actual_ee_1,left_actual_ee_2,left_actual_ee_3,left_actual_ee_4,left_actual_ee_5,left_actual_ee_6,right_actual_ee_0,right_actual_ee_1,right_actual_ee_2,right_actual_ee_3,right_actual_ee_4,right_actual_ee_5,right_actual_ee_6,lift_q,base_x,base_y,base_yaw
0.012333464999755961,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.043334829999366775,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.07366975299919432,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.10657251699922199,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.14087782999922638,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.17282263599918224,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.20564847399873543,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.23959612299950095,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.2760508339997614,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.30821645299874945,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.34208136099914555,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.37540916099897004,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.4080975369997759,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.44165566799892986,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
0.47486783800013654,-0.004000,1.326000,-1.704000,1.302000,-0.007000,0.006000,-0.006000,-0.001000,1.325000,1.715000,1.303000,0.008000,-0.010000,0.007000,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,-0.027805,0.771329,0.148998,-0.618125,0.369915,-0.254957,0.604671,0.149701,-0.617959,-0.019381,0.771583,-0.374460,-0.252840,0.604854,0.451094,0.000000,0.000000,0.000000
