# refresh_posture_target=True,arm_posture_cost=0.001,"arm_posture_cost_overrides={'left_arm_joint7': 0.003, 'right_arm_joint7': 0.003}",ee_position_cost=100.0,ee_orientation_cost=50.0
t,left_q0,left_q1,left_q2,left_q3,left_q4,left_q5,left_q6,right_q0,right_q1,right_q2,right_q3,right_q4,right_q5,right_q6,left_target_ee_0,left_target_ee_1,left_target_ee_2,left_target_ee_3,left_target_ee_4,left_target_ee_5,left_target_ee_6,right_target_ee_0,right_target_ee_1,right_target_ee_2,right_target_ee_3,right_target_ee_4,right_target_ee_5,right_target_ee_6,left_actual_ee_0,left_actual_ee_1,left_actual_ee_2,left_actual_ee_3,left_actual_ee_4,left_actual_ee_5,left_actual_ee_6,right_actual_ee_0,right_actual_ee_1,right_actual_ee_2,right_actual_ee_3,right_actual_ee_4,right_actual_ee_5,right_actual_ee_6,lift_q,base_x,base_y,base_yaw
0.009890753000945551,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.04134630100088543,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.07226885199997923,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.1076225680008065,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.13784878799924627,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.1733619490005367,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.20780731700142496,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.23873909000030835,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.2718834820007032,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.30518009700244875,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.33869367300212616,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.3715246040010243,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.40510356899903854,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.43891055100175436,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.4735103259990865,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
0.5048864310010686,-0.345000,0.370000,-0.163000,1.472000,-1.411000,-0.078000,1.027000,-0.001000,1.317000,1.720000,1.307000,0.008000,-0.010000,0.007000,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.098440,-0.608826,0.083704,0.782710,0.446941,-0.161723,0.640981,0.149704,-0.615054,-0.015590,0.773986,-0.378551,-0.252941,0.607438,0.451072,0.000000,0.000000,0.000000
