"# base_pid=base_pid_hybrid.json [drive p=0.35 ff=0.23, steer p=2 out=+/-1, scale=1.068]",sample_hz=50.0
t,motors_enabled,v_target_0,v_target_1,v_target_2,v_prof_0,v_prof_1,v_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL
0.0003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.114491,3.118211,0.089008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.0203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.114491,3.118211,0.088763,3.109269,-3.114491,3.118211,0.088763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.0405,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109666,-3.113842,3.118211,0.089008,3.109666,-3.113842,3.118388,0.089008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.0603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113842,3.118388,0.089211,3.109024,-3.113842,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.0804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.113842,3.118211,0.089008,3.109269,-3.113842,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.1004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.114491,3.118388,0.089008,3.109024,-3.114491,3.118388,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.1203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.114480,3.118211,0.089008,3.109269,-3.113842,3.118211,0.089008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.1403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113842,3.118035,0.089008,3.109269,-3.113842,3.118035,0.089008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.1603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113842,3.118677,0.089008,3.109269,-3.113842,3.118677,0.089008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.1804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113842,3.118211,0.089211,3.109269,-3.113842,3.118211,0.088559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.2003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.113842,3.118211,0.089211,3.109024,-3.113842,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.2204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.114480,3.118035,0.089415,3.109269,-3.113842,3.118035,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.2403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.114480,3.118211,0.089211,3.109269,-3.113842,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.2603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113842,3.118211,0.089211,3.109269,-3.113842,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.2803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.114491,3.118035,0.089211,3.109269,-3.114502,3.118035,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.3004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.114480,3.118035,0.089211,3.109269,-3.113832,3.118035,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.3203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113842,3.118211,0.089211,3.109269,-3.113842,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.3403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113832,3.118211,0.089211,3.109269,-3.113832,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.3603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113832,3.118211,0.089211,3.109269,-3.113832,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.3803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.108872,-3.113832,3.118211,0.089211,3.109269,-3.113832,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.4003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.113832,3.118211,0.089211,3.109024,-3.113832,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.4203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.113832,3.118035,0.089211,3.109024,-3.113832,3.118035,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.4403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.113842,3.118677,0.089211,3.109269,-3.114480,3.118677,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.4604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109024,-3.114491,3.118211,0.089211,3.109666,-3.113853,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
0.4803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.109269,-3.113842,3.118211,0.089211,3.109269,-3.114480,3.118211,0.089211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.760324,21.354910,-911.592224,-670.559570
