"# base_pid=base_pid_hybrid.json [drive p=0.35 ff=0.23, steer p=2 out=+/-1, scale=1.068]",sample_hz=50.0
t,motors_enabled,v_target_0,v_target_1,v_target_2,v_prof_0,v_prof_1,v_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL
0.0003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154759,0.300214,0.194081,0.254691,0.154759,0.300214,0.194081,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.0203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300214,0.194081,0.254504,0.154702,0.300214,0.194248,0.254504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.0403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194724,0.254877,0.154646,0.300578,0.194724,0.254877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.0603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194081,0.254691,0.154702,0.300863,0.193772,0.254504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.0803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300863,0.194415,0.254691,0.154646,0.300863,0.193772,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.1003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300500,0.193605,0.254691,0.154646,0.300500,0.194248,0.254504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.1204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300863,0.194248,0.254691,0.154702,0.300863,0.194248,0.254038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.1403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194081,0.254691,0.154702,0.300863,0.194081,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.1603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300863,0.194081,0.254504,0.154646,0.300863,0.194081,0.254504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.1804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154759,0.300578,0.194081,0.254691,0.154759,0.300578,0.194081,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.2004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300578,0.194248,0.254691,0.154702,0.300578,0.194248,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.2203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300578,0.194248,0.254691,0.154702,0.300578,0.194248,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.2403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194081,0.254224,0.154646,0.300578,0.194081,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.2604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154759,0.300578,0.194415,0.254691,0.154759,0.300578,0.194415,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.2803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154759,0.300578,0.194248,0.254691,0.154759,0.300578,0.194248,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.3003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154759,0.300500,0.194081,0.254224,0.154759,0.300500,0.194081,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.3203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194081,0.254038,0.154702,0.300863,0.194248,0.254038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.3403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300500,0.194248,0.254877,0.154702,0.300500,0.194248,0.254877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.3603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300500,0.194081,0.254038,0.154702,0.300578,0.194248,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.3803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194248,0.254224,0.154702,0.300863,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.4004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300214,0.194081,0.254691,0.154702,0.300578,0.194081,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.4204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194248,0.254877,0.154702,0.300863,0.194248,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.4404,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194248,0.254691,0.154702,0.300863,0.194248,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.4606,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194248,0.254691,0.154702,0.300863,0.194248,0.254691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.4805,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300863,0.194248,0.254411,0.154702,0.300863,0.193939,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.5006,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300578,0.193939,0.254224,0.154702,0.300578,0.193772,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.5205,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300578,0.193772,0.254224,0.154702,0.300578,0.193772,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.5407,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300578,0.193772,0.254224,0.154646,0.300578,0.193772,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.5608,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300578,0.193772,0.254224,0.154702,0.300578,0.193772,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.5804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.193772,0.254224,0.154646,0.300578,0.193772,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.6004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154531,0.300578,0.194248,0.254224,0.154531,0.300578,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.6205,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194081,0.254411,0.154646,0.300578,0.194557,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.6407,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.193605,0.254877,0.154646,0.300578,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.6604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154588,0.300578,0.194248,0.254411,0.154588,0.300578,0.194081,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.6803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194248,0.254224,0.154646,0.300578,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.7005,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194081,0.254224,0.154646,0.300578,0.194081,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.7204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194724,0.254224,0.154646,0.300578,0.194724,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.7403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194724,0.254691,0.154646,0.300578,0.194415,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.7603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194415,0.254598,0.154646,0.300578,0.194415,0.254598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.7803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194415,0.254411,0.154646,0.300578,0.194415,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.8003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154588,0.300578,0.194248,0.254224,0.154588,0.300578,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.8203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.193605,0.254224,0.154646,0.300578,0.193605,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.8403,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154588,0.300578,0.194248,0.254224,0.154588,0.300578,0.194248,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.8603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194248,0.254224,0.154646,0.300578,0.194248,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.8803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300292,0.194248,0.254411,0.154646,0.300292,0.193772,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.9003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300292,0.194724,0.254598,0.154646,0.300292,0.194724,0.254598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.9204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194248,0.254598,0.154646,0.300578,0.194248,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.9404,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194248,0.254224,0.154646,0.300578,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.9604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300578,0.194248,0.254224,0.154646,0.300578,0.193772,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
0.9804,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300292,0.194081,0.254411,0.154646,0.300292,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
1.0004,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300578,0.194248,0.254411,0.154702,0.300578,0.194248,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
1.0203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154702,0.300292,0.194415,0.254224,0.154702,0.300292,0.193772,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
1.0404,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154588,0.300292,0.194248,0.254411,0.154588,0.300292,0.194248,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
1.0603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300863,0.194248,0.254411,0.154646,0.300863,0.194248,0.254411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
1.0803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.154646,0.300863,0.194248,0.254224,0.154646,0.300863,0.194248,0.254224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,503.098785,-1057.581055,-859.740540,-415.426331
