"# base_pid=base_pid_hybrid.json [drive p=0.35 ff=0.23, steer p=2 out=+/-1, scale=1.068]",sample_hz=50.0
t,motors_enabled,v_target_0,v_target_1,v_target_2,v_prof_0,v_prof_1,v_prof_2,steer_cmd_FL,steer_cmd_FR,steer_cmd_RR,steer_cmd_RL,steer_meas_FL,steer_meas_FR,steer_meas_RR,steer_meas_RL,drive_cmd_FL,drive_cmd_FR,drive_cmd_RR,drive_cmd_RL,drive_meas_FL,drive_meas_FR,drive_meas_RR,drive_meas_RL,drive_pos_FL,drive_pos_FR,drive_pos_RR,drive_pos_RL
0.0003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100132,-3.108003,3.106007,0.027868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.0203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100385,-3.108003,3.106185,0.028078,-3.100385,-3.108003,3.106185,0.028078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.0404,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100385,-3.107355,3.106007,0.027868,-3.100385,-3.107355,3.106007,0.027868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.0603,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100385,-3.107355,3.106185,0.028078,-3.100385,-3.107355,3.106185,0.028078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.0803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100774,-3.107355,3.106007,0.027635,-3.100774,-3.107355,3.106007,0.027635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.1008,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100132,-3.107992,3.106185,0.027635,-3.100132,-3.107981,3.106007,0.027635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.1203,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100385,-3.107332,3.106185,0.027425,-3.100385,-3.107332,3.106185,0.027425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.1405,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100132,-3.107992,3.106007,0.027868,-3.100132,-3.107992,3.106007,0.027868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.1604,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100132,-3.108015,3.106007,0.027425,-3.100132,-3.107992,3.106007,0.027425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.1803,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100385,-3.108003,3.106007,0.027425,-3.100385,-3.108003,3.106007,0.027425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.2003,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100774,-3.108003,3.106185,0.027425,-3.100774,-3.108003,3.106185,0.027425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
0.2204,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.100774,-3.108003,3.106185,0.027425,-3.100774,-3.108003,3.106185,0.027425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.312222,-26.857840,-456.590271,-490.258636
